eog,emg
1,0
2,1
5,0
5,1
4,-3
4,-1
2,0
1,0
1,2
2,-1
1,0
2,1
3,1
3,1
3,-2
4,0
5,1
5,-1
6,1
7,-2
6,-1
6,0
6,0
4,1
2,-1
2,0
1,0
1,0
1,1
1,-1
-1,0
-2,1
-3,0
-3,1
-2,-2
-1,0
0,1
-1,0
-1,1
-1,-1
-2,0
0,1
3,0
5,1
6,-2
6,-1
5,0
4,-1
4,0
5,-1
5,0
5,1
6,0
5,1
5,-1
5,1
4,1
3,0
3,2
4,0
4,0
5,0
5,0
4,2
3,-1
3,0
2,0
0,-1
0,1
1,-1
0,0
0,0
0,-1
-1,0
-3,-1
-2,0
-2,0
-3,-1
-1,2
0,0
-1,0
-2,1
-3,0
-5,2
-5,0
-5,1
-5,0
-6,-2
-5,0
-4,-1
-4,0
-4,1
-3,0
-4,1
-4,-1
-2,0
-2,-2
-1,-2
1,1
1,1
-2,1
-6,0
-9,0
-12,1
-13,-1
-11,0
-9,-1
-9,-2
-6,1
-3,0
-1,0
0,0
1,0
1,1
1,0
3,1
4,0
4,-2
5,1
5,1
4,1
4,0
5,-2
5,0
4,-1
4,0
2,0
-1,-2
0,1
1,0
3,1
5,1
8,-1
8,1
7,-1
7,1
6,1
4,-1
5,1
6,0
6,1
7,0
8,-2
8,0
8,0
9,1
9,1
8,-1
8,0
8,0
7,0
7,0
8,-2
7,0
5,-1
6,1
6,2
6,-1
7,1
7,0
6,1
7,1
8,-1
8,0
8,-1
8,2
8,2
6,-1
5,1
5,0
4,0
4,1
4,-1
3,0
3,-2
3,-1
2,0
1,-2
0,0
0,0
0,2
1,2
2,0
3,1
2,-1
1,1
0,1
0,-1
0,1
1,-1
1,-1
0,1
0,0
-1,0
-4,-2
-5,0
-6,1
-6,0
-5,1
-5,-1
-5,-1
-6,0
-6,-1
-7,0
-8,-1
-7,1
-6,1
-6,0
-6,1
-7,-1
-8,-1
-8,1
-6,-1
-6,0
-6,-1
-6,0
-5,2
-4,0
-3,2
-1,-2
0,-1
1,1
2,0
0,1
-2,-2
-3,0
-3,1
-3,-1
-2,0
-2,-1
-3,0
-4,1
-5,0
-6,1
-6,-1
-4,1
-3,1
-2,-1
-1,0
-1,-2
-3,0
-5,1
-5,0
-6,1
-5,-1
-4,1
-3,1
-3,-1
-3,1
-3,0
-5,0
-5,-1
-3,-1
-1,1
-1,-1
0,0
-1,1
-4,0
-5,2
-6,0
-6,0
-5,1
-4,0
-4,1
-5,-1
-4,-1
-4,-1
-4,-2
-3,1
-2,0
-1,0
0,1
2,0
4,1
5,-1
6,0
7,1
6,-2
5,0
5,-1
3,-1
2,0
2,-1
1,1
0,0
0,0
0,0
-2,-1
-3,2
-4,0
-5,-1
-6,0
-5,0
-7,1
-8,-1
-9,-1
-10,-2
-10,-3
-8,2
-6,1
-6,1
-7,1
-7,0
-6,1
-6,-2
-4,-1
-3,0
-3,-2
-2,1
-2,-1
-3,0
-3,0
-2,-1
-2,2
-3,1
-2,1
-3,0
-3,-1
-2,1
0,0
2,0
3,1
4,-1
4,1
3,0
3,1
1,0
0,-2
1,0
2,0
2,-1
2,-2
2,-2
1,0
0,0
0,0
-1,1
-1,0
-1,2
0,1
0,1
1,1
1,-1
-1,0
-3,0
-2,1
0,1
1,-1
3,1
3,0
0,1
-3,1
-7,-2
-10,-1
-11,-1
-9,0
-5,-1
-3,-3
1,0
3,0
3,1
2,1
2,-1
2,1
2,-1
2,1
2,1
2,-1
3,1
4,-1
4,0
5,2
6,0
5,0
4,-1
5,1
5,2
4,-1
5,0
6,0
5,0
5,0
5,-2
5,-1
4,-1
5,1
5,2
5,-1
6,1
6,0
5,0
5,1
5,0
4,0
2,-1
3,1
3,1
3,-1
3,-1
2,-2
0,0
0,2
0,0
0,0
1,0
4,1
5,2
5,-1
4,0
4,-2
2,-1
2,1
2,-1
1,0
1,-1
2,1
2,2
2,0
2,1
1,-1
0,0
-1,1
0,0
0,1
1,-1
2,0
2,0
2,-2
3,1
3,-1
2,-1
2,0
3,0
2,1
0,-1
0,0
0,1
0,0
2,1
2,0
2,0
3,0
5,0
6,1
8,-1
11,-1
11,0
10,-1
10,2
10,-1
9,-1
9,0
10,0
9,2
8,0
6,0
4,1
3,-1
3,2
2,-1
0,-2
-1,0
-2,0
-2,2
-2,-1
0,-1
0,0
-1,-1
-2,1
-3,0
-5,0
-5,0
-5,0
-6,2
-7,0
-7,-1
-8,0
-9,-1
-8,1
-6,-1
-5,-1
-5,0
-5,1
-5,2
-4,0
-4,-1
-5,-2
-7,-2
-7,1
-7,1
-8,1
-7,1
-6,0
-5,1
-5,0
-5,0
-5,0
-5,-1
-5,2
-5,0
-6,-1
-6,-1
-4,-1
-3,1
-2,0
0,1
0,0
0,-2
1,1
2,1
2,1
3,0
4,-2
3,-1
2,-1
2,0
2,1
1,-1
1,2
2,1
2,1
3,1
4,-1
2,0
0,-1
0,0
0,0
-1,-2
-1,1
-1,1
-1,1
0,1
1,-1
0,-1
0,-1
1,0
0,0
-2,-1
-1,0
1,-1
3,0
5,1
6,-1
5,1
4,-1
4,0
3,1
3,-1
3,1
4,1
4,1
5,1
6,-2
5,-1
4,-1
4,0
4,1
5,-1
5,1
5,0
4,0
4,1
4,-2
4,-1
4,-2
5,0
4,2
1,-1
-1,1
-1,1
-1,1
1,2
4,-1
4,-1
2,-1
1,0
-2,1
-4,-1
-3,1
-1,0
0,0
2,1
3,-1
2,0
1,-1
2,1
3,1
5,-2
6,0
6,-1
6,0
8,1
8,0
6,1
1,0
-3,1
-6,1
-9,-1
-9,1
-9,0
-8,-1
-7,-1
-4,-2
-2,1
-1,0
1,1
2,2
2,-1
3,1
1,0
-2,0
-4,1
-5,-1
-4,1
-3,-1
-1,-1
1,0
2,-2
5,1
6,-1
4,-1
4,1
4,0
2,1
0,0
-1,0
-3,1
-4,0
-3,2
-1,-1
0,-1
2,1
3,1
3,2
2,0
2,0
1,0
-1,-1
0,1
0,-1
0,-1
0,-1
1,-1
0,1
-1,-1
0,1
0,2
-1,-1
-1,1
-2,-1
-3,-1
-3,1
-3,0
-3,1
-2,0
-1,-1
0,0
0,-1
0,1
0,0
-1,0
-1,1
-1,0
-2,1
-3,0
-4,0
-6,1
-6,-2
-5,0
-4,0
-4,-1
-4,1
-5,0
-6,1
-6,-1
-5,-1
-5,0
-6,-1
-5,1
-5,0
-6,-1
-6,0
-5,0
-6,1
-6,0
-4,0
-3,0
-3,-1
-2,2
-2,0
-2,0
-2,1
-1,-1
-1,0
0,-1
1,-1
0,0
-2,-2
-3,1
-2,0
-1,0
1,1
3,0
4,2
3,1
2,-1
1,-1
-1,-2
0,1
2,1
4,0
5,1
6,-1
4,0
2,-1
0,0
-3,0
-5,-2
-5,1
-4,1
-3,0
-1,0
0,-2
-2,-1
-4,-1
-5,0
-6,1
-6,-1
-3,2
-1,1
0,1
1,1
-1,-1
-4,1
-7,0
-7,0
-6,-1
-6,-2
-4,1
-2,1
-2,1
-1,1
0,-2
0,0
-1,-1
-1,-1
-1,0
-1,-1
0,2
0,1
-1,1
-2,1
-3,-1
-5,0
-6,-1
-5,0
-5,1
-6,-3
-5,0
-3,0
-3,0
-2,2
-1,-2
-3,0
-5,0
-5,1
-5,1
-4,-2
-2,1
-1,1
-2,-1
-2,-1
-3,-1
-4,1
-5,1
-4,1
-3,1
-2,-2
0,1
2,0
3,0
3,1
2,-2
0,0
-1,0
-1,0
-1,1
-1,-2
-1,1
0,0
-2,0
-2,1
-2,-1
-3,1
-2,0
-1,1
0,0
0,-3
1,0
2,-1
2,-1
4,1
5,-1
3,1
2,0
1,0
1,1
0,-1
-1,1
-1,0
-2,0
-2,1
-1,-1
-2,0
-3,-1
-3,0
-3,1
-3,-1
-2,1
-2,-1
-3,0
-3,1
-3,0
-4,0
-6,-1
-5,0
-6,1
-6,0
-7,2
-8,-1
-9,-1
-7,1
-4,0
-3,0
-3,-1
-2,-1
-2,1
-2,0
-1,2
-1,-1
0,-1
2,1
4,1
3,1
-1,-1
-4,0
-7,1
-9,-1
-9,0
-8,-2
-7,-2
-4,0
0,0
1,1
1,0
2,1
3,2
3,-1
4,1
3,-1
1,-1
1,1
1,-1
-1,1
-2,0
-2,0
-3,0
-4,-1
-3,1
-2,0
-1,-1
0,1
2,0
2,1
2,-1
2,-2
2,-1
2,-2
3,1
3,0
4,-1
5,0
6,0
5,2
4,1
3,0
1,0
-1,-2
0,1
1,0
1,-1
1,0
3,-1
3,1
3,0
4,0
4,0
3,-2
4,1
5,0
5,-1
5,0
5,-1
4,1
3,0
3,-1
2,1
1,0
1,2
1,1
0,0
-2,1
-3,-1
-4,1
-5,0
-5,-1
-5,-1
-7,-2
-7,1
-7,1
-9,0
-10,1
-10,0
-10,1
-9,0
-7,0
-7,-1
-8,-3
-7,1
-6,1
-7,0
-7,1
-8,-1
-9,1
-10,0
-9,0
-7,1
-6,-1
-4,1
-3,0
-3,-1
-4,1
-5,-1
-6,0
-6,0
-5,0
-5,1
-6,-2
-5,1
-4,0
-4,1
-4,1
-4,-3
-7,-1
-9,0
-8,0
-8,2
-8,-1
-7,1
-7,1
-8,-1
-8,0
-8,-2
-8,0
-8,1
-7,1
-7,0
-8,-3
-7,0
-7,1
-7,1
-7,2
-7,-1
-9,0
-10,-1
-10,0
-10,2
-10,-1
-9,0
-8,-1
-8,-1
-7,0
-7,-1
-8,0
-6,0
-4,0
-4,1
-4,-1
-2,1
-1,0
0,-1
2,2
3,0
2,1
0,0
-1,0
-3,1
-3,-1
-2,0
-2,-1
-2,-1
-1,1
0,-1
-1,0
-2,-1
-3,-1
-4,1
-5,-1
-5,1
-5,0
-6,-1
-6,1
-6,-1
-7,0
-8,0
-7,1
-6,2
-5,1
-3,1
-3,-2
-4,-2
-4,1
-3,-1
-3,0
-4,-1
-3,1
-3,2
-4,-1
-4,0
-5,-2
-5,-3
-5,-1
-5,-1
-7,0
-8,0
-7,1
-7,2
-7,1
-4,2
-3,0
-4,-1
-4,1
-5,0
-6,1
-6,-1
-4,0
-3,1
-3,-1
-2,1
-2,-1
-3,-1
-3,1
-3,0
-3,1
-3,0
-2,-1
-3,1
-3,-1
-2,0
-2,-1
-3,-1
-2,1
-1,0
0,1
1,0
2,0
1,1
-1,-1
-1,2
-2,0
-3,-1
-3,0
-2,-1
-2,1
-1,0
-1,-1
-2,0
-5,-1
-6,2
-7,0
-8,-1
-9,-1
-9,-2
-9,0
-8,-1
-8,0
-8,0
-8,-1
-8,2
-7,1
-7,0
-5,1
-2,0
0,2
-1,1
-3,-1
-7,-1
-12,-2
-15,2
-16,1
-15,-2
-12,0
-7,-1
-4,1
-2,0
0,-1
1,1
0,-1
1,1
1,1
0,-1
0,0
0,-1
0,1
0,1
2,0
2,0
1,-2
1,2
1,1
0,-1
0,1
0,0
-1,1
0,0
1,-1
1,0
0,-1
0,1
-1,1
-1,0
0,0
1,-1
2,0
1,-1
2,-1
2,0
2,-2
3,1
3,1
2,0
2,1
2,-2
1,1
0,1
0,0
-2,0
-4,-2
-5,1
-6,0
-7,0
-7,1
-5,-2
-4,0
-3,0
-2,0
-1,1
-2,-1
-1,2
-1,1
-1,-1
-2,0
-3,-2
-4,-1
-5,-1
-4,-1
-4,1
-5,-1
-5,2
-5,1
-4,0
-3,2
-2,-1
-3,0
-2,0
-1,0
-2,1
-3,-2
-3,0
-2,0
-3,0
-2,2
-2,-1
-3,-1
-3,-1
-2,-1
-2,0
-2,-3
-1,0
-1,1
-2,0
-2,2
-2,0
-2,1
-2,0
-1,0
0,2
0,-1
1,0
1,0
2,0
2,2
2,-1
0,-1
0,-1
0,-1
1,1
1,-1
2,0
2,0
0,-1
1,1
2,0
2,1
1,0
0,0
-1,1
-1,-1
0,1
1,0
0,0
0,2
0,-1
-1,-1
-2,-1
-3,0
-3,1
-3,0
-1,1
0,0
0,0
1,2
2,-1
3,0
3,0
4,0
4,1
2,-1
1,0
0,-1
-1,-2
-2,0
-2,-1
-2,0
-2,0
-1,0
-2,1
-2,-1
0,1
2,0
3,0
4,2
5,0
5,1
6,0
7,0
8,1
8,0
9,1
9,-1
9,-1
9,1
10,-1
8,-1
8,-2
8,-1
7,1
5,-1
4,1
3,0
2,-1
2,1
4,0
4,1
5,1
5,0
5,1
4,-1
4,1
4,0
3,-2
4,1
6,-1
7,1
6,0
6,-1
5,0
5,-1
6,1
5,0
3,-2
2,1
2,0
2,1
1,-1
1,-2
1,1
1,-1
2,1
2,1
1,-1
0,1
0,0
0,1
0,-1
1,-2
2,0
2,-1
3,1
4,0
4,-1
5,1
6,0
6,1
6,0
6,-1
4,-1
4,-2
5,1
5,1
5,-1
6,1
7,0
5,1
4,0
4,-1
4,0
5,-1
7,1
8,1
7,-1
7,1
8,-1
8,1
9,1
9,0
9,1
8,-1
8,1
7,0
5,0
4,1
5,-1
6,0
7,0
7,-1
6,1
4,-1
3,1
3,1
3,-1
7,1
11,-1
11,0
9,1
4,0
-2,1
-8,-2
-10,0
-9,0
-6,0
-1,2
4,-1
6,-1
8,0
7,0
5,1
3,-2
4,0
6,0
8,0
8,1
8,-2
6,-1
5,-1
5,0
5,1
5,-1
6,1
7,1
8,1
8,2
8,-2
7,0
7,0
9,0
11,2
12,-1
13,1
13,0
12,-1
13,1
13,-2
11,-1
11,0
11,0
9,1
7,-1
7,0
6,0
6,-1
6,1
6,0
4,1
4,0
4,0
3,1
3,-2
4,0
6,0
8,0
10,1
11,-1
10,-1
10,0
11,0
12,2
13,-1
14,0
12,-1
10,-2
10,1
11,-1
12,-1
14,-1
17,0
17,2
15,0
14,1
12,0
9,0
8,2
9,0
10,0
10,0
10,-1
10,1
9,-1
10,0
11,-1
11,-1
12,2
13,1
12,2
11,1
9,-1
7,0
7,-2
8,0
9,-1
8,-2
8,1
7,0
7,1
8,0
10,0
10,1
10,-1
10,0
10,0
9,-1
10,2
9,0
8,1
8,0
8,-1
7,1
6,-1
7,1
8,0
8,-1
8,0
8,-1
7,0
6,-1
7,-1
8,0
9,-1
10,2
10,1
8,0
7,1
5,-1
3,0
2,0
2,-2
1,0
1,-1
1,1
0,1
-1,-1
-1,1
0,0
1,1
2,0
4,-1
4,1
3,-2
3,0
3,0
2,-2
2,1
2,0
1,1
0,1
0,-1
0,0
2,-2
4,0
5,0
4,-1
4,1
4,0
3,1
4,1
5,-1
6,0
7,-1
8,1
7,1
4,-1
3,0
1,-1
0,-1
1,0
3,0
5,0
5,-1
5,1
5,1
5,0
6,1
6,-1
6,1
7,1
8,0
7,1
6,-1
6,1
4,1
3,0
3,1
4,-1
5,0
5,0
6,0
6,0
5,-3
5,-1
5,0
4,0
3,1
2,-1
1,0
1,2
3,0
4,0
4,-2
4,0
3,1
1,0
0,2
1,-1
2,0
5,1
7,0
7,0
5,-2
3,0
0,1
-3,0
-3,1
-2,-1
-1,0
-2,0
-2,-1
-2,1
-3,-2
-3,0
-2,2
-1,0
1,2
2,-2
1,-1
0,0
0,0
-1,1
-2,-1
0,0
2,1
3,-1
3,1
3,-2
1,-1
1,0
2,0
4,1
7,-1
10,1
11,2
10,-2
9,0
9,-1
9,0
11,2
11,0
8,2
4,-1
-1,0
-6,0
-8,-1
-6,1
-2,-2
1,-1
3,1
5,0
5,1
4,-1
4,0
6,1
8,-1
10,2
11,0
11,0
9,0
8,0
7,1
7,-2
9,0
11,0
10,-1
10,1
8,0
5,0
2,1
2,-1
2,1
2,0
3,0
3,-1
2,-1
0,2
-1,0
-4,0
-5,0
-4,0
-4,2
-3,0
-1,0
-1,-1
-2,-2
-3,1
-3,-1
-4,-1
-4,-1
-3,-1
-3,1
-3,0
-2,1
-3,0
-4,-1
-2,1
0,0
0,1
0,0
0,-1
-2,1
-2,0
-1,2
0,0
0,-2
1,1
2,0
2,0
1,0
1,-1
1,1
1,-1
2,-1
2,-2
2,-2
3,1
3,0
2,1
2,0
2,-1
2,2
2,0
4,1
4,0
3,-2
2,1
2,0
1,1
0,0
-1,-2
-1,0
-1,-1
0,1
0,1
-2,-1
-3,1
-3,0
-3,0
-3,0
-1,-1
0,1
-1,0
-1,1
-2,1
-3,-2
-3,0
-2,0
-1,0
0,1
1,0
1,1
0,0
1,1
2,1
2,-1
2,0
1,-1
-1,1
-1,1
0,-2
-1,-1
-2,-2
-1,0
-1,0
-2,-2
-2,1
-3,0
-4,0
-3,0
-2,-1
-2,0
-3,-1
-4,1
-5,2
-5,-1
-5,1
-4,-1
-4,0
-4,1
-4,-1
-3,0
-3,-1
-2,1
-1,2
-3,0
-4,0
-5,-2
-7,-1
-7,1
-5,-1
-3,-1
-2,-2
-1,0
-3,2
-6,0
-8,1
-9,-1
-8,0
-6,1
-3,0
-2,0
-2,-1
-2,1
-4,1
-6,-1
-6,0
-5,-2
-7,0
-7,1
-7,0
-8,1
-8,-1
-6,1
-5,2
-3,0
-2,1
-2,-3
-4,-2
-4,0
-2,-1
-2,1
-2,-1
0,1
0,2
-1,0
-2,1
-2,-2
-4,-2
-4,0
-2,0
0,2
1,0
1,1
-1,1
-2,0
-2,1
-2,-1
-2,-1
-1,1
1,0
1,1
-1,-1
-2,-1
-3,0
-4,-1
-3,0
-4,-1
-6,-1
-7,0
-7,1
-7,2
-6,0
-5,0
-6,0
-6,-1
-5,2
-4,0
-5,-1
-6,0
-6,0
-7,1
-7,-1
-6,0
-4,1
-3,0
-1,1
-1,0
-2,0
-4,0
-5,-1
-6,1
-6,-1
-5,0
-5,-1
-6,-2
-7,1
-7,0
-7,0
-7,1
-5,1
-5,2
-4,0
-3,0
-3,0
-4,-1
-5,1
-6,-1
-7,-1
-6,0
-3,0
-1,2
0,0
2,0
1,-1
0,-2
-1,0
-2,-1
-3,-1
-3,0
-1,0
0,1
1,0
3,1
4,1
2,0
0,2
-3,0
-7,-1
-10,0
-9,-2
-7,0
-4,-1
1,0
4,0
4,-1
4,1
4,0
2,0
1,0
0,-1
-1,1
-1,-1
1,0
2,1
3,-1
4,2
3,0
0,1
-3,1
-6,-1
-8,0
-9,-1
-8,0
-6,0
-5,-2
-3,1
-2,0
-2,0
-3,1
-4,-2
-7,0
-9,-1
-9,1
-8,1
-7,-1
-6,0
-6,0
-7,1
-7,1
-6,-1
-5,-1
-5,-2
-3,1
-2,1
-2,-1
-1,2
-1,1
0,0
1,0
2,-2
0,-1
-2,-1
-2,1
-3,2
-3,-1
-2,1
-2,1
-2,0
-1,1
1,-1
2,-1
2,-2
4,0
4,1
3,-1
3,1
2,0
2,0
2,1
4,-1
4,0
2,-1
1,1
-1,1
-3,-1
-2,1
-1,-1
0,0
2,1
4,0
4,1
4,-1
4,1
4,1
3,-1
5,1
7,-1
7,-1
7,-1
6,-2
4,0
2,-1
2,1
2,1
2,0
3,2
3,0
2,0
2,1
3,-1
3,1
2,0
2,1
1,1
-1,0
-2,1
-2,-2
-2,-1
-1,0
2,0
2,1
1,-2
0,1
-2,2
-4,-2
-4,0
-3,-1
-2,-1
-1,0
1,-1
1,1
2,-1
3,0
3,1
2,0
2,2
2,-1
-1,-1
-3,1
-4,0
-5,1
-6,-1
-5,-1
-3,0
-3,-1
-3,2
-4,0
-7,0
-7,0
-6,0
-5,0
-4,-2
-2,0
-1,1
-1,-1
-1,1
-1,0
-2,0
-2,1
0,0
1,1
1,-1
1,-1
-1,-1
-5,-2
-6,2
-5,0
-5,0
-4,1
-3,0
-4,1
-6,0
-7,0
-6,0
-5,-2
-2,1
2,-1
3,-1
4,0
4,-1
3,1
1,-1
0,0
-1,0
-2,0
-1,2
0,1
1,0
1,0
0,-1
-2,0
-5,-1
-6,0
-7,-1
-7,-1
-5,1
-3,0
-3,1
-2,1
-2,0
-2,1
-1,-2
0,-1
0,0
-1,-2
-1,1
-1,1
-2,1
-3,0
-4,-1
-6,0
-7,0
-7,1
-9,0
-10,-1
-10,2
-9,1
-9,0
-8,0
-7,-2
-7,0
-7,-1
-5,0
-4,1
-4,-1
-3,1
-1,0
-2,-1
-4,0
-5,-2
-7,0
-8,0
-7,1
-7,1
-6,-1
-5,1
-5,0
-7,1
-8,1
-7,-1
-8,0
-7,0
-6,1
-6,1
-6,-2
-7,0
-6,0
-6,1
-5,1
-5,-2
-7,-1
-8,-1
-6,1
-6,0
-7,-2
-6,0
-5,0
-5,1
-5,1
-6,0
-8,1
-8,0
-7,1
-5,1
-3,-1
0,2
2,1
0,2
-3,1
-7,-3
-11,-1
-14,-2
-13,0
-10,0
-8,-2
-5,0
-4,0
-4,0
-2,0
-1,-2
-2,-1
-3,-1
-3,1
-3,2
-4,-1
-3,1
-3,0
-2,1
-1,1
0,-1
0,0
-1,0
-1,1
-2,1
-3,-1
-2,0
-2,-1
-4,-1
-4,1
-3,0
-3,1
-3,0
-3,0
-2,1
-2,-1
0,0
0,-2
-1,-1
-2,0
-1,-1
-2,1
-2,-1
-1,0
0,1
1,-1
2,1
1,-1
-2,-1
-3,1
-6,-1
-9,1
-9,-1
-8,1
-6,2
-5,0
-4,2
-4,-1
-5,-1
-5,1
-5,1
-6,1
-8,-1
-9,-1
-9,0
-8,-1
-6,1
-5,-1
-5,-1
-4,1
-3,0
-3,1
-5,-1
-5,0
-7,1
-8,0
-7,1
-6,-1
-5,-1
-4,1
-3,0
-4,1
-7,-1
-9,0
-10,1
-10,-1
-9,0
-9,-2
-10,-2
-10,0
-8,0
-7,2
-6,0
-3,0
-3,1
-3,-1
-2,1
-2,0
-2,-1
-3,1
-2,0
-2,1
-3,0
-3,0
-4,1
-6,-1
-6,1
-6,0
-6,-1
-5,0
-3,-1
-2,1
0,0
0,-1
-1,-1
-3,-2
-2,0
-2,0
-2,0
-2,1
-2,0
-2,1
-3,0
-2,0
-1,0
-1,-1
-1,2
-1,1
-2,0
-2,0
-2,-1
-3,1
-3,0
-2,0
-1,0
-1,-2
-1,2
0,1
0,0
1,0
2,-2
3,0
3,-1
4,-1
4,0
2,-2
1,1
0,1
-1,0
-1,1
-1,0
-1,1
-1,0
1,1
1,0
1,-2
2,1
3,0
3,0
4,0
5,-2
4,1
3,1
2,1
0,0
-2,-2
-2,0
-1,-1
-2,-1
-1,0
-1,-2
-1,1
0,0
3,1
3,1
2,-2
2,1
3,1
2,0
2,1
1,-1
-1,0
-3,0
-4,0
-4,1
-5,-2
-4,1
-4,1
-4,1
-3,1
-1,-2
-1,0
-2,-2
-1,0
0,1
0,-2
1,1
2,0
2,0
2,1
1,0
-1,1
-3,0
-4,0
-4,0
-6,-2
-7,1
-7,0
-7,0
-6,0
-4,-2
-4,-1
-5,0
-3,0
-1,1
1,0
4,2
5,0
3,-1
1,0
-1,-1
-3,1
-3,0
-1,0
-1,1
-2,0
-2,1
-2,-1
-3,-1
-4,0
-4,-1
-5,1
-5,0
-4,0
-3,1
-4,-1
-3,1
-1,0
-1,-1
-2,1
-3,-1
-4,0
-5,-1
-4,0
-2,0
-1,-3
-1,0
0,-1
-1,-1
-1,1
0,1
1,2
2,1
5,2
5,2
2,0
0,1
-3,-2
-7,-2
-8,-1
-7,-2
-4,0
-1,-1
2,0
4,2
5,0
6,1
5,-1
4,-1
3,0
3,-1
4,1
5,-1
6,0
7,1
6,-1
7,1
6,0
5,-1
5,2
5,0
4,1
4,0
5,1
6,1
6,-2
7,1
7,0
6,-1
6,1
7,-1
6,1
6,0
7,-1
7,0
6,-2
6,0
6,-1
5,0
5,2
5,0
4,1
4,1
5,0
6,0
7,-1
8,1
9,-1
9,-1
9,1
10,0
10,1
10,0
11,-1
11,-1
11,-2
11,2
11,1
11,0
11,0
11,0
9,1
8,-1
9,0
9,0
8,-1
8,1
7,0
7,0
6,0
6,-1
5,1
5,0
6,-1
6,0
4,-2
4,2
4,2
3,0
3,1
4,-1
5,1
4,0
4,-1
2,0
1,-1
2,1
4,0
5,-2
6,-1
6,-2
5,0
3,0
3,0
3,0
4,-1
6,2
8,1
7,1
5,1
3,-1
1,1
1,1
2,1
4,1
6,-1
8,1
8,0
7,-1
5,0
4,-2
3,0
3,-1
5,0
5,1
4,-1
5,2
4,1
3,0
2,1
2,-1
1,1
0,0
0,-1
1,1
-1,-2
-2,1
-3,1
-4,0
-4,0
-3,-2
-2,0
-1,0
1,0
0,1
-1,-1
0,1
1,1
2,0
3,1
5,-2
5,-1
6,0
8,0
8,1
7,-1
8,1
8,0
7,0
7,1
9,-1
10,0
10,0
11,0
11,2
9,-1
8,0
5,0
3,0
2,2
3,0
3,1
2,0
3,1
2,1
0,-2
-1,0
-1,-2
-1,-2
1,0
3,-1
4,1
5,-1
5,0
3,1
1,0
-1,1
-3,0
-5,0
-5,2
-3,0
-3,1
-3,-1
-3,0
-4,1
-6,0
-7,1
-7,-1
-7,-1
-5,1
-2,-2
0,-1
1,-1
3,0
3,1
2,-1
2,1
3,-1
3,-1
4,1
4,0
2,1
1,-1
1,0
0,2
-1,1
-1,2
-1,-1
-2,-1
-1,1
0,0
1,0
3,-1
6,0
8,1
8,-1
8,1
7,-1
4,-1
3,1
2,-1
2,1
2,0
4,-1
5,1
6,-1
8,2
9,1
9,-1
9,1
9,0
8,1
7,-1
7,-1
5,0
4,-1
4,1
3,0
2,-1
1,1
1,0
0,2
-1,0
-1,-2
-2,0
-3,-1
-4,2
-4,1
-5,-2
-4,0
-3,0
-2,2
0,1
1,-1
-2,0
-6,-1
-10,1
-13,0
-15,-2
-15,0
-12,-1
-8,1
-4,1
-1,-1
-1,0
-2,-1
-2,2
-3,1
-4,-1
-4,0
-3,-2
-3,0
-2,0
-1,-1
-1,0
-2,-1
-2,2
-1,1
-1,-1
-2,0
-2,-1
-2,1
-1,1
0,0
0,0
-2,-1
-2,2
-3,1
-3,-1
-3,0
-3,-1
-3,1
-3,0
-2,0
-3,0
-5,-3
-5,-1
-5,0
-5,-1
-5,0
-5,-1
-6,1
-6,1
-5,1
-4,1
-4,-1
-3,1
-2,0
-3,0
-3,1
-3,-1
-4,0
-5,0
-3,0
-3,1
-2,-1
0,1
1,0
0,-1
1,1
1,-2
-1,0
-1,0
1,0
2,1
2,-1
2,0
1,1
-1,1
-3,1
-3,-2
-5,0
-6,0
-5,0
-5,0
-4,-2
-2,1
-2,1
-3,0
-3,1
-3,-2
-3,0
-2,0
0,1
2,2
1,-1
1,0
-1,0
-3,-1
-4,0
-5,-1
-7,0
-8,0
-9,0
-8,0
-8,-1
-7,1
-6,1
-5,0
-4,1
-4,-1
-4,0
-5,0
-3,0
-2,1
-2,-1
-1,0
-1,0
-1,0
2,3
5,0
5,0
4,-1
2,-1
0,0
-1,-3
-1,0
-2,0
-4,0
-4,2
-4,0
-4,1
-2,0
2,1
4,2
5,-1
6,0
4,-2
1,-2
-1,1
-1,-1
0,0
1,-1
2,0
0,2
-3,0
-5,1
-6,0
-6,-2
-4,-1
-3,-1
-2,1
-2,0
-3,0
-5,1
-6,-1
-5,1
-1,0
2,-1
5,1
8,-1
8,0
8,0
7,0
4,1
0,-1
-1,1
-2,0
-4,-2
-5,1
-4,0
-4,1
-3,0
-3,-1
-2,1
-2,-2
-1,0
0,0
-1,-1
-2,1
-1,0
-1,2
0,0
1,-1
1,1
0,0
1,1
0,0
-2,-2
-3,1
-4,0
-4,2
-3,0
0,-1
1,0
1,-1
1,1
0,1
-2,-1
-2,1
-1,0
1,0
2,-1
4,-2
6,0
6,-1
7,1
7,1
5,0
5,1
5,0
4,1
3,0
3,-2
2,-1
1,-1
2,1
3,1
3,-1
3,1
5,0
5,1
5,0
5,-1
4,0
3,-1
3,1
1,0
-2,-2
-3,1
-3,0
-4,1
-3,0
-2,0
-2,1
-2,-1
-1,1
-2,1
-2,0
-2,1
-2,-1
-3,0
-4,-1
-3,-1
-3,1
-2,-1
0,1
2,0
2,-1
3,1
4,-1
4,0
5,-1
6,-1
6,1
5,-1
5,1
5,1
6,0
7,2
7,0
6,0
4,0
2,0
-2,0
