eog,emg
-32,0
-33,-1
-34,-1
-32,-1
-28,-2
-25,-2
-25,-1
-25,-1
-23,-1
-23,0
-22,0
-20,0
-20,-1
-20,-1
-18,-1
-16,0
-15,0
-12,1
-11,2
-14,2
-18,2
-21,2
-26,2
-30,1
-32,0
-33,-1
-35,0
-34,0
-32,-1
-31,-1
-29,0
-26,0
-24,0
-21,0
-17,0
-16,-1
-18,-1
-19,0
-18,0
-20,-1
-20,-3
-18,-3
-17,-1
-18,0
-20,0
-23,1
-27,2
-31,3
-34,3
-37,2
-39,1
-39,0
-39,1
-38,0
-35,-1
-31,-2
-28,-1
-26,0
-26,0
-25,0
-23,0
-21,0
-21,-1
-20,-2
-17,-2
-14,0
-13,1
-13,1
-14,0
-16,0
-18,1
-20,2
-23,1
-26,1
-27,2
-28,1
-29,0
-27,-1
-26,-2
-25,-1
-24,-1
-20,-1
-18,-1
-16,-1
-13,0
-10,1
-8,0
-5,0
-3,1
-5,1
-8,1
-11,1
-14,0
-14,-1
-14,0
-16,0
-18,0
-18,1
-18,1
-20,1
-23,1
-23,1
-22,0
-20,-1
-17,-2
-16,-2
-16,-1
-13,-1
-10,-1
-7,0
-4,0
0,0
1,0
0,1
1,2
2,1
3,0
5,0
7,-1
7,-1
5,-1
3,0
0,2
-3,1
-5,1
-8,1
-12,1
-14,1
-13,0
-11,-1
-9,-1
-6,0
-3,0
1,-1
6,-1
8,-1
9,-1
10,-1
12,-1
14,-1
18,0
23,0
26,0
26,1
25,2
22,2
17,3
13,2
10,0
7,0
5,0
5,0
4,0
4,-2
6,-1
8,-1
10,-1
12,-1
14,-1
12,0
8,0
8,1
9,1
12,0
16,-1
18,-1
19,0
20,0
22,-1
23,0
25,1
28,1
29,2
28,2
29,2
29,0
29,-1
28,0
26,0
21,0
17,0
13,1
8,0
4,-1
2,0
0,0
-1,-1
2,-2
6,-2
7,0
9,1
12,0
14,1
16,0
19,-1
20,-1
20,0
21,0
21,0
19,0
18,0
19,0
18,1
17,1
16,1
14,1
12,0
13,-1
13,0
11,1
8,2
6,2
4,2
1,1
1,0
1,-1
-1,0
-2,1
-2,0
-5,0
-7,-1
-8,-1
-9,-1
-10,-2
-8,-2
-5,-3
-4,-4
-2,-3
0,-3
2,-2
3,0
3,2
1,3
1,4
4,3
5,3
3,3
1,3
-2,2
-7,2
-9,1
-10,0
-12,-1
-14,-2
-15,-2
-16,-2
-15,-3
-13,-2
-10,-2
-11,-1
-11,-1
-9,-2
-8,-1
-5,-1
-1,0
3,0
7,0
13,1
17,1
18,1
16,2
11,4
3,5
-4,5
-8,3
-12,2
-14,1
-13,0
-11,-1
-11,-2
-12,-3
-12,-3
-13,-4
-13,-4
-12,-4
-11,-3
-9,-1
-8,0
-8,1
-11,2
-13,1
-12,1
-12,2
-13,1
-12,1
-10,0
-8,-1
-3,-1
2,-1
4,0
5,1
4,2
2,2
0,2
-1,2
-1,0
-1,-1
1,-2
4,-3
5,-2
5,-1
4,-1
0,1
-6,2
-12,3
-16,2
-19,1
-20,1
-20,1
-19,1
-18,-1
-17,-2
-18,-1
-17,-1
-14,-1
-15,-1
-17,-1
-16,-1
-15,-1
-15,-2
-13,-2
-10,-1
-8,0
-7,0
-5,2
-6,2
-6,2
-3,2
0,0
-1,0
-1,0
-1,-1
-1,0
0,0
-1,1
-5,2
-10,1
-12,0
-12,-1
-13,-1
-12,-2
-10,-1
-7,-1
-4,-1
-3,-1
-7,1
-15,3
-24,5
-30,4
-33,2
-32,0
-28,-2
-22,-2
-17,-2
-10,-1
-4,-1
0,-2
3,-2
5,-1
5,-1
5,-1
6,-1
4,0
2,0
2,0
1,1
-2,2
-3,2
-2,0
0,-1
2,0
5,1
7,1
7,2
8,2
9,2
8,2
9,1
10,0
10,0
10,-2
12,-3
13,-3
13,-2
12,0
10,0
6,1
4,0
1,-1
-3,0
-6,1
-9,1
-13,1
-15,0
-13,1
-11,2
-10,1
-9,1
-10,1
-15,0
-17,-1
-16,-2
-15,-2
-12,-2
-5,-3
0,-4
4,-2
8,-1
10,-1
8,0
7,1
8,1
8,2
6,2
4,3
3,2
2,2
3,2
2,2
-1,2
-3,0
-2,-1
-3,0
-3,-1
-4,-1
-5,-1
-6,-1
-7,0
-7,-1
-9,-2
-9,-1
-9,-1
-11,0
-13,0
-12,-1
-11,0
-10,1
-8,1
-8,0
-9,0
-11,0
-11,0
-13,1
-12,0
-10,1
-8,0
-6,-1
-4,-1
-3,-1
-3,-1
-3,-1
-3,0
-4,1
-5,1
-5,1
-6,0
-7,0
-7,0
-8,-1
-11,0
-14,1
-15,1
-16,1
-18,1
-21,2
-24,1
-27,0
-29,-1
-32,0
-36,1
-37,0
-37,-3
-38,-3
-40,-2
-39,-2
-39,-2
-39,-1
-37,-1
-35,-1
-32,-1
-28,0
-24,1
-21,1
-21,2
-21,2
-23,0
-26,0
-26,0
-27,1
-29,1
-30,1
-30,1
-30,0
-30,-1
-28,-1
-29,0
-33,0
-38,0
-42,1
-47,1
-49,1
-47,0
-46,0
-46,0
-46,0
-47,-1
-48,-2
-47,-1
-44,-1
-41,0
-37,1
-34,1
-33,1
-29,-1
-23,-1
-18,-1
-14,0
-10,0
-7,-1
-7,1
-7,1
-5,0
-6,0
-8,-1
-10,-1
-13,0
-18,1
-22,1
-26,2
-29,2
-31,2
-31,1
-31,0
-29,-1
-25,-1
-22,-1
-20,-2
-16,-2
-12,-2
-10,-1
-7,-1
-3,0
-1,1
1,0
3,-1
3,0
2,0
1,0
1,0
0,0
0,1
1,2
-1,1
-4,1
-7,2
-13,2
-18,2
-21,1
-24,0
-27,-1
-25,-1
-17,-3
-8,-4
1,-3
8,-2
10,-1
9,0
9,0
9,1
6,1
4,1
5,0
5,0
7,0
9,0
9,1
10,1
12,2
13,3
10,3
7,2
2,1
-2,-1
-4,-2
-5,-2
-7,-3
-7,-2
-5,0
-4,0
-5,1
-6,1
-7,1
-9,0
-9,-1
-8,-1
-7,0
-8,0
-6,-1
-1,-1
3,-1
7,-1
12,-1
14,-2
14,-2
15,-1
14,1
12,1
10,2
8,2
6,2
4,2
1,2
-4,2
-9,2
-13,1
-16,1
-16,-1
-14,-2
-11,-2
-8,-1
-4,-2
2,-5
6,-4
8,-2
11,-1
13,-1
15,0
17,0
20,1
21,2
24,2
25,2
25,1
25,0
25,1
24,1
21,1
17,2
12,2
7,2
4,1
0,0
-4,0
-9,-1
-12,-1
-16,-2
-18,-3
-17,-2
-13,-1
-10,-1
-4,-1
2,-1
6,0
9,0
14,-1
18,-1
20,0
21,1
21,1
21,0
21,-1
22,0
22,0
22,-1
24,0
23,0
21,1
22,1
23,1
21,2
20,3
18,1
16,0
13,1
9,2
3,1
-2,0
-5,0
-5,-1
-5,-2
-2,-3
0,-3
0,-1
0,-1
1,-1
-1,0
-5,0
-5,1
-6,1
-7,1
-6,1
-3,0
0,-1
2,-1
4,-1
4,0
5,1
6,1
5,1
4,0
2,-1
1,0
-2,0
-4,1
-4,1
-6,1
-7,0
-7,1
-7,1
-8,1
-9,1
-11,0
-12,0
-12,1
-12,1
-14,-1
-14,-1
-11,-2
-7,-4
-5,-3
-4,-2
-4,-1
-6,1
-8,1
-7,2
-6,3
-7,1
-8,1
-10,2
-13,2
-13,0
-11,0
-12,0
-14,0
-15,-1
-16,-1
-18,0
-19,1
-19,-1
-20,0
-20,0
-17,-2
-16,-2
-14,-2
-11,-1
-10,0
-10,0
-8,0
-7,-1
-6,0
-4,0
-1,0
1,1
3,1
5,1
3,1
-2,0
-7,1
-12,1
-18,2
-21,2
-23,1
-24,1
-24,1
-21,1
-18,0
-14,-1
-10,-1
-8,-1
-10,0
-12,-1
-14,-2
-17,-2
-19,-2
-20,-2
-20,-2
-21,-1
-20,-1
-18,-1
-18,0
-19,0
-20,2
-21,3
-22,3
-23,3
-26,1
-30,1
-30,2
-31,1
-33,0
-33,-1
-29,-1
-25,0
-20,-1
-14,-1
-9,-1
-5,-2
-1,-1
0,-1
0,-1
1,0
2,0
1,1
-2,1
-1,1
0,0
0,0
-1,0
-2,1
-4,1
-4,1
-4,1
-4,1
-4,2
-2,2
-2,1
-2,0
0,0
-1,-1
-3,0
-3,0
-1,-1
-1,-2
-1,-2
0,-2
1,-1
1,-2
4,-1
6,-1
5,0
5,-1
5,0
5,2
5,2
8,1
11,0
14,0
17,0
19,-1
20,0
21,1
22,0
21,1
18,1
14,2
10,2
5,1
3,1
2,1
0,0
1,0
3,0
4,0
7,-1
10,-2
13,-2
14,-2
14,-1
16,0
18,0
22,-1
28,-1
33,0
36,1
37,0
37,0
38,1
39,1
40,1
39,1
39,0
38,0
35,1
32,1
30,0
27,0
26,0
26,0
27,0
28,-1
30,-1
32,0
32,0
33,-1
34,-1
34,0
34,-1
34,0
33,0
31,0
31,1
34,0
36,0
39,1
41,0
43,-1
44,-2
46,-1
47,0
44,1
40,1
39,2
36,3
32,2
31,1
31,0
32,0
34,0
36,-1
36,-1
36,-1
37,-1
37,-1
38,-2
40,-1
41,-1
41,-1
42,0
43,0
43,0
43,0
43,1
42,1
41,0
41,0
41,0
41,-1
40,0
40,1
39,2
38,3
37,2
36,1
38,0
41,-1
40,0
38,0
37,0
36,-1
34,-1
35,-2
37,-2
36,-1
36,-1
36,-1
36,-1
35,0
37,0
38,0
38,1
38,2
37,1
35,1
35,1
36,0
35,1
33,0
33,0
34,-1
34,-1
37,0
41,0
42,0
43,0
43,0
39,0
33,1
28,0
24,-1
21,0
21,-1
23,-3
24,-2
25,-1
26,1
24,1
23,-1
26,0
29,0
30,1
30,2
32,2
33,1
33,0
34,0
32,0
30,0
29,-1
28,-1
26,0
24,0
23,0
21,1
18,0
18,-1
19,-2
23,-2
27,-1
29,0
29,0
29,1
30,1
30,1
30,1
33,1
33,0
33,0
34,1
35,1
32,0
29,0
25,0
21,2
18,1
17,-1
16,-2
15,-2
15,-2
16,-2
17,-1
17,-1
17,0
18,0
18,0
20,1
22,0
23,1
25,2
25,0
24,0
21,1
17,2
12,2
8,2
7,1
6,-1
6,-1
8,-1
8,-1
6,-2
6,-2
7,-2
7,-1
8,-2
10,-1
13,0
15,0
18,0
20,-1
21,0
21,1
21,1
20,2
21,1
22,1
21,1
18,1
14,1
10,1
4,1
0,0
-2,0
-4,-1
-6,-1
-6,0
-7,0
-8,-1
-6,-1
-4,-2
-3,-1
0,0
5,-1
8,-2
12,-2
17,-1
20,0
22,1
23,2
23,2
22,2
21,2
19,2
15,3
9,2
5,1
0,0
-3,-1
-3,-2
-3,-2
-5,-2
-7,-2
-6,-2
-5,-1
-2,-1
3,0
5,0
8,-1
12,-1
14,-1
14,0
14,1
12,2
9,3
8,2
9,1
9,1
9,0
9,0
9,0
7,0
6,0
5,0
3,-1
0,0
0,0
-2,0
-3,-1
-3,-2
-2,-1
-3,-1
-1,0
2,0
2,0
3,1
4,1
3,1
0,1
-2,0
-4,-1
-5,0
-5,0
-4,0
-4,0
-4,0
-2,0
-2,0
-2,-1
-2,0
-3,0
-6,0
-8,0
-8,0
-6,0
-4,0
0,1
2,1
3,1
3,1
0,1
-5,2
-10,0
-13,-1
-17,-1
-18,-2
-16,-2
-15,-2
-14,-2
-11,0
-11,1
-13,1
-13,1
-12,1
-13,1
-13,1
-14,0
-15,0
-15,0
-15,0
-16,1
-16,0
-15,-1
-13,-1
-12,-1
-10,-1
-9,0
-11,1
-11,1
-10,2
-11,1
-13,1
-14,2
-15,0
-17,0
-17,0
-17,-1
-18,-1
-18,-1
-16,-1
-14,0
-15,0
-16,0
-16,0
-15,0
-14,0
-13,0
-14,0
-15,0
-15,1
-15,1
-16,0
-16,0
-17,0
-20,1
-22,0
-23,0
-25,0
-27,1
-29,1
-32,0
-33,-1
-33,-1
-31,-2
-30,-2
-26,-2
-22,-1
-19,-1
-17,0
-15,0
-14,0
-15,1
-14,1
-14,1
-15,2
-17,2
-18,2
-20,1
-23,1
-24,0
-25,0
-27,0
-27,0
-25,-2
-25,-2
-25,-2
-23,-2
-25,-1
-26,-1
-25,-1
-25,0
-26,1
-26,1
-24,0
-22,0
-20,-1
-19,0
-19,1
-19,1
-17,1
-16,1
-16,1
-16,0
-15,-1
-16,-1
-17,0
-18,0
-19,0
-19,0
-18,0
-19,0
-20,0
-19,-1
-18,-1
-20,0
-21,1
-21,1
-21,1
-21,0
-18,1
-17,1
-18,-1
-18,-1
-18,0
-20,1
-21,0
-21,0
-22,0
-22,0
-20,0
-18,-1
-17,0
-14,0
-12,-1
-10,-1
-7,-1
-5,-1
-5,0
-6,1
-4,1
-2,1
-2,0
-3,0
-3,0
-4,1
-5,1
-6,1
-8,1
-10,0
-11,0
-12,0
-14,0
-14,0
-12,-1
-9,-2
-5,-2
-1,-2
2,-1
5,-1
7,-1
7,0
6,1
6,2
6,2
4,1
5,1
6,1
5,0
5,0
5,0
3,1
2,1
2,0
4,-2
5,-1
7,-1
10,-1
13,0
16,1
19,1
19,1
16,1
14,0
12,0
9,0
5,0
4,-1
3,-1
1,-1
1,0
1,1
1,1
1,0
1,0
0,0
-1,0
1,0
1,0
0,0
1,0
2,-1
3,0
5,0
5,-1
4,-1
6,-1
8,0
7,1
6,1
4,1
1,1
-3,0
-3,0
-1,0
0,0
0,0
1,0
2,-1
2,-1
4,-1
4,0
5,1
7,0
7,0
6,0
7,0
9,0
8,1
7,1
8,0
9,-2
8,-2
8,0
9,0
8,0
7,0
7,0
5,0
3,0
4,0
4,0
2,0
1,1
1,0
1,1
2,0
2,0
2,0
1,0
2,0
3,0
4,-1
5,0
6,0
5,0
6,-1
9,-1
10,0
10,1
11,1
11,0
8,1
7,1
6,0
5,0
5,-1
6,0
6,1
6,0
6,-1
5,-1
4,-1
4,0
4,0
4,0
4,0
5,1
4,1
3,1
1,2
0,1
-1,0
-2,0
-1,0
0,-1
2,-2
3,-2
0,0
-2,1
-2,-1
-2,-1
-3,-1
-2,-1
1,-1
1,-1
2,0
3,1
3,2
1,2
0,2
0,1
0,0
2,0
2,0
1,-1
1,0
2,0
0,-1
-2,-1
-1,-1
-1,-1
-2,-1
-1,-1
1,0
1,0
1,0
2,0
3,0
3,1
4,1
3,1
1,1
0,1
0,-1
0,0
0,1
2,0
2,-1
2,-2
3,-1
3,0
2,0
3,0
5,0
4,0
3,-1
4,-1
4,0
4,0
4,1
3,1
1,1
0,0
0,0
-1,0
-2,1
-2,1
-3,0
-2,-1
1,-2
2,-2
1,-2
2,-2
4,-1
4,1
3,1
0,1
-5,2
-8,2
-10,2
-11,1
-12,1
-10,1
-7,0
-6,1
-4,0
0,-1
3,-1
7,-1
11,0
14,0
15,-1
15,-1
13,-2
8,-1
2,-1
-2,-1
-5,-1
-8,1
-9,1
-11,1
-13,1
-14,2
-15,2
-15,2
-13,1
-9,0
-5,-1
-3,-2
-2,-1
-2,-1
-2,-2
0,-1
1,-1
-2,0
-6,0
-8,1
-11,1
-14,1
-16,1
-21,1
-25,1
-25,0
-24,1
-24,2
-24,1
-25,1
-26,1
-26,0
-22,-1
-19,-2
-15,-3
-12,-2
-11,-1
-12,-1
-13,0
-13,-1
-16,0
-20,1
-24,1
-29,1
-34,1
-36,1
-37,1
-38,1
-37,1
-33,0
-30,-1
-27,-1
-23,-1
-21,-2
-22,-2
-22,0
-24,1
-28,2
-33,1
-35,0
-37,1
-35,0
-33,1
-31,1
-31,0
-30,-1
-30,-2
-31,-1
-30,-1
-27,0
-27,0
-26,0
-25,0
-26,1
-28,1
-28,1
-27,0
-27,0
-27,-1
-25,-1
-24,-1
-23,-1
-21,0
-22,1
-25,2
-26,2
-26,0
-25,-1
-24,-1
-22,0
-21,0
-19,0
-17,0
-18,1
-24,1
-27,1
-29,0
-30,0
-29,0
-27,-1
-26,-1
-26,-1
-25,-1
-25,-1
-25,-1
-24,-1
-20,-1
-16,-1
-13,1
-11,1
-10,1
-10,0
-9,1
-12,1
-17,1
-20,1
-23,2
-27,2
-29,0
-27,-1
-25,-1
-23,-1
-21,-1
-19,-2
-19,-2
-19,-2
-19,-1
-21,0
-21,0
-18,0
-16,1
-14,1
-10,1
-8,1
-6,1
-5,1
-5,1
-7,2
-10,1
-11,1
-14,1
-19,1
-21,2
-21,0
-20,-1
-16,-2
-12,-3
-10,-3
-8,-2
-6,-2
-6,-2
-5,0
-5,1
-6,1
-9,1
-9,1
-10,1
-13,2
-17,2
-18,1
-17,0
-17,1
-17,2
-17,1
-17,-2
-16,-2
-13,-2
-11,-2
-7,-2
-3,-2
-1,0
2,0
4,0
3,1
3,1
5,1
6,1
4,1
2,0
2,0
0,2
-2,3
-3,3
-5,2
-7,1
-8,1
-9,0
-11,-1
-11,-3
-7,-5
-4,-5
-2,-4
2,-4
5,-3
7,-1
11,-1
13,0
13,2
11,4
11,4
11,4
13,3
16,2
19,0
20,1
19,0
15,0
8,0
1,0
-5,1
-10,0
-14,-1
-15,-1
-16,0
-16,-1
-13,-2
-9,-2
-6,-2
-1,-2
5,-2
9,-1
13,0
17,-1
20,-2
23,-1
26,1
28,1
30,1
31,2
31,3
28,2
22,2
16,3
9,3
1,2
-5,0
-8,-1
-11,-2
-10,-2
-8,-2
-6,-2
-3,-3
2,-2
5,-2
7,-2
10,-1
12,-1
13,-1
16,0
20,1
24,1
28,1
32,0
33,1
33,2
34,1
34,1
28,2
22,3
16,3
10,2
4,-1
-1,-1
-6,-1
-9,-1
-8,-2
-8,-2
-9,-1
-9,-1
-5,-1
-2,-1
2,0
8,0
13,0
18,0
23,-1
26,-1
28,0
29,0
28,0
26,0
24,-1
25,0
24,1
21,1
19,1
17,0
16,0
17,0
18,0
16,1
13,1
10,2
5,3
0,2
-3,2
-5,1
-8,1
-7,0
-2,-2
2,-3
5,-2
8,-2
10,-2
11,-2
12,-2
13,-1
13,-1
14,-1
16,-1
15,0
13,1
11,3
9,3
8,2
10,2
10,1
8,1
7,1
7,1
5,0
5,0
7,0
9,0
10,0
10,0
6,0
1,0
-4,0
-7,-1
-10,-1
-13,-2
-15,-2
-16,-2
-16,-2
-10,-2
-1,-1
4,0
9,1
14,0
18,1
20,2
23,2
25,1
24,1
24,1
21,1
16,1
12,1
10,0
8,0
8,-1
9,-2
10,-2
10,-2
10,-1
11,-1
9,0
7,0
6,0
4,0
5,1
8,2
11,1
15,1
20,1
25,0
26,0
25,0
24,0
20,0
17,-1
18,-1
18,-1
16,0
16,0
15,-1
12,0
9,0
6,0
3,0
1,0
1,1
1,1
2,1
4,0
5,0
3,0
3,-1
3,0
2,0
3,0
6,0
9,0
10,1
11,0
13,-1
12,-1
13,0
16,0
18,0
18,-1
17,-1
14,0
11,1
9,0
5,1
0,1
-2,1
-3,0
-3,-1
-2,-2
-1,-1
1,-1
2,-1
4,0
5,0
5,0
5,1
6,2
6,1
6,1
7,0
7,0
8,-1
9,-1
11,0
9,0
6,0
5,0
3,0
1,0
0,1
-2,0
-3,0
-2,0
0,-1
1,-1
1,1
1,1
-4,1
-7,0
-8,0
-7,-1
-4,0
0,1
3,0
3,0
3,0
4,0
4,1
4,0
4,-1
2,0
1,0
1,0
3,-1
3,0
3,0
5,0
7,-1
9,-1
12,0
12,0
12,0
11,1
7,1
2,2
0,2
0,1
-1,2
0,1
3,0
7,-1
9,-1
12,-2
14,-2
14,-1
12,0
10,0
6,0
4,0
3,0
2,0
2,0
4,-1
6,0
7,0
8,1
9,2
9,1
8,0
6,1
2,1
-5,1
-13,2
-19,2
-23,1
-21,-1
-17,-3
-14,-2
-11,-2
-6,-2
-2,-1
0,-1
3,-1
6,-1
6,0
5,1
6,1
7,1
8,1
9,0
10,0
11,-1
12,-1
13,0
12,0
11,0
10,0
7,1
4,2
3,2
2,1
0,0
-2,-1
-3,-1
-6,0
-10,0
-12,0
-12,0
-8,0
-1,-2
5,-1
11,-1
15,0
16,0
16,0
15,1
14,0
10,0
5,0
4,0
2,0
1,0
1,0
2,0
3,0
5,1
6,1
4,1
0,1
-3,0
-7,-1
-10,-2
-11,-1
-12,-1
-13,-1
-11,-1
-7,0
-1,1
5,0
10,0
11,0
11,0
10,0
9,0
6,0
5,0
5,0
3,0
1,0
0,0
-2,1
-2,1
-1,1
-1,0
-3,0
-2,0
0,-1
2,-1
5,-1
9,-1
12,0
13,1
14,1
13,1
9,1
6,1
5,1
3,1
3,-1
4,-2
2,-1
-1,-1
-1,0
0,0
1,0
1,-1
1,-1
1,0
0,1
1,0
0,-1
0,-1
0,0
0,0
-1,0
0,0
1,0
1,1
2,1
4,1
4,1
3,1
3,1
4,-1
4,-1
4,0
4,-1
2,-1
2,-2
4,-1
4,1
3,1
4,0
6,0
6,1
7,1
8,-1
7,-1
6,-1
4,0
1,-1
-3,-1
-6,1
-8,2
-9,3
-9,2
-7,1
-7,0
-5,-1
-1,-1
2,-1
4,-2
6,-2
8,-1
9,0
9,0
8,0
5,0
2,1
1,1
-1,1
-2,1
-2,0
-3,0
-7,0
-12,0
-16,0
-20,0
-23,1
-24,0
-24,0
-22,0
-15,-1
-7,-1
-1,0
4,-1
6,-1
5,0
4,-1
3,0
2,1
0,0
0,1
-1,1
-4,1
-6,2
-9,1
-13,0
-14,-1
-12,-2
-8,-2
-5,-1
-2,-1
-2,0
-6,1
-9,-1
-11,-1
-13,0
-14,1
-13,2
-11,2
-8,1
-5,1
-3,0
-3,1
-3,0
-4,0
-7,0
-10,0
-10,0
-12,0
-14,0
-13,-1
-10,-2
-8,-1
-7,0
-6,-1
-7,0
-9,1
-12,1
-15,1
-16,1
-15,1
-15,0
-18,-1
-21,-1
-22,0
-22,0
-20,-1
-15,-2
-10,0
-7,1
-4,1
-2,0
-2,-1
-2,0
0,1
-1,1
-3,0
-4,0
-6,0
-7,0
-6,-1
-5,-1
-5,-1
-5,0
-4,-1
-6,0
-7,1
-8,2
-8,2
-8,2
-7,2
-9,1
-12,0
-15,-1
-16,-1
-16,-2
-15,-2
-12,-2
-11,-2
-12,-2
-11,-1
-10,0
-11,1
-11,1
-11,0
-12,1
-12,1
-9,1
-6,1
-6,1
-6,0
-8,0
-11,1
-13,1
-16,1
-18,0
-20,-1
-20,1
-22,1
-22,0
-19,0
-16,-2
-13,-2
-8,-2
-3,-1
0,-1
3,0
4,0
2,0
1,0
2,0
2,0
1,1
-1,2
-3,1
-4,0
-5,0
-5,1
-6,1
-7,1
-9,1
-11,0
-13,0
-13,-1
-10,-1
-10,-1
-10,-2
-8,-1
-5,0
-4,0
-2,0
0,0
-1,0
-1,1
0,0
-2,-1
-3,0
-4,1
-6,1
-8,1
-9,1
-10,1
-11,0
-10,-1
-8,-1
-8,-1
-6,-1
-4,1
-3,2
-4,0
-3,-1
-1,-2
0,-2
1,-1
0,-1
-1,0
-2,0
-1,0
-1,1
-2,1
-2,1
-2,0
-2,1
-1,1
0,1
0,0
-1,0
-3,0
-6,-1
-8,-1
-7,0
-6,0
-5,0
-4,0
-1,-1
1,-1
5,-1
8,-1
9,-1
6,-1
4,1
2,0
0,0
-1,1
-2,0
-3,1
-4,0
-4,0
-4,0
-5,0
-4,0
-3,0
-2,0
0,0
2,0
4,-1
8,-1
11,0
11,-1
9,-1
8,0
8,0
6,0
5,0
5,1
5,2
4,0
4,-1
3,0
2,0
2,-1
2,-1
1,0
1,1
1,1
0,0
-1,0
0,0
2,0
3,-1
7,0
11,0
14,0
16,0
17,0
16,1
17,0
19,0
18,0
16,0
14,-1
11,-1
7,0
6,1
6,0
6,-1
6,0
7,0
6,0
5,0
5,0
3,0
2,1
3,1
4,1
3,1
4,-1
6,-1
7,-1
8,-1
10,-1
11,-2
10,-1
8,1
8,0
8,-1
7,0
8,2
8,3
7,2
7,0
4,1
0,1
-3,1
-4,-1
-4,-2
-4,-3
-2,-2
-1,-1
1,-1
2,0
2,0
1,0
1,1
2,0
2,0
1,0
1,1
0,1
-1,0
-1,1
-2,1
-5,1
-6,1
-7,1
-8,0
-8,-1
-7,0
-6,1
-5,0
-2,-1
0,-2
0,-1
1,-1
3,-1
3,0
2,0
1,0
-1,1
-3,0
-1,-1
1,-1
2,0
3,0
5,0
5,1
6,1
7,1
6,0
5,0
3,0
1,-1
-1,0
-2,1
-2,1
-3,1
-5,1
-5,0
-5,-1
-5,0
-3,0
-1,-1
1,-1
2,-2
2,-1
1,0
0,-1
1,0
2,0
4,1
6,1
6,0
4,0
3,0
1,1
-3,1
-6,1
-9,0
-11,0
-11,0
-9,1
-7,0
-6,0
-4,-1
-2,-2
-1,-1
-1,-1
1,0
1,0
2,0
3,0
3,0
0,1
0,1
0,0
-1,0
0,0
1,0
0,0
-3,1
-4,1
-3,-1
-4,-1
-4,0
-2,1
0,1
-1,0
-1,0
-2,0
-2,-1
-1,-1
-1,0
-1,0
1,0
3,-1
3,0
4,0
5,-1
4,-1
5,0
8,0
10,0
9,0
7,0
6,0
2,1
-1,1
-3,1
-5,1
-5,1
-3,1
-1,0
-2,0
-1,0
0,-1
1,0
1,-1
2,-1
1,0
0,-1
-1,-1
-2,0
-3,0
-3,0
-2,-1
-2,0
-1,0
3,0
7,0
8,0
9,1
7,1
3,2
0,1
-1,1
-4,1
-6,2
-6,1
-6,0
-5,-1
-2,-2
-1,-3
-2,-2
-1,-1
2,-1
4,0
4,0
5,0
4,1
2,1
3,1
3,0
1,0
0,0
-1,0
0,0
2,0
3,0
1,1
-1,1
2,1
6,1
7,1
8,1
7,0
4,-1
2,-2
1,-2
-1,-2
-1,-1
0,0
1,-1
1,-2
4,-1
6,0
6,1
7,1
9,1
10,2
9,0
10,0
9,0
7,0
6,1
6,0
6,0
6,0
6,0
5,1
6,1
8,0
8,0
6,0
5,0
4,0
2,1
0,1
1,0
1,-1
0,-2
2,-2
2,-1
0,0
-1,1
1,1
2,1
3,0
5,-1
4,-1
5,0
6,0
4,0
0,1
-2,1
-3,0
-3,0
-5,1
-8,1
-12,0
-15,-1
-16,-1
-14,0
-12,-1
-9,-1
-5,-1
-3,-1
-1,0
0,0
0,-1
-1,-1
0,0
-1,0
-3,1
-4,1
-5,0
-8,1
-10,1
-11,0
-13,0
-15,0
-15,1
-14,0
-14,0
-12,-1
-9,-1
-9,-1
-9,-1
-7,0
-8,0
-8,0
-7,0
-6,1
-7,1
-5,0
-3,0
-1,0
0,0
1,0
-1,-1
-5,-1
-9,1
-13,0
-16,0
-16,0
-15,0
-15,1
-14,0
-13,0
-14,0
-14,0
-13,0
-13,0
-14,0
-13,0
-11,0
-12,0
-12,-1
-11,-1
-11,0
-11,0
-9,0
-8,-1
-9,0
-10,0
-10,-1
-12,0
-13,-1
-12,0
-12,0
-11,0
-9,1
-10,1
-12,2
-12,2
-12,1
-12,0
-12,0
-11,-1
-12,0
-12,0
-9,-1
-6,-2
-5,-1
-4,-1
-4,0
-6,0
-7,0
-6,1
-5,1
-3,1
-2,1
-3,1
-3,1
-3,1
-4,1
-7,1
-9,1
-9,0
-11,-1
-12,-1
-12,-1
-11,-1
-10,-2
-9,-2
-8,-1
-9,0
-9,0
-10,1
-12,1
-13,1
-11,1
-9,-1
-5,-2
0,-2
5,-1
7,0
5,0
3,1
0,1
-4,3
-7,3
-10,3
-12,3
-14,1
-16,0
-19,0
-20,-1
-17,-2
-14,-3
-8,-2
0,-1
5,0
6,0
5,-1
3,-1
0,-1
-1,-1
2,-1
5,-1
7,0
8,0
6,1
0,3
-6,3
-12,2
-18,2
-23,2
-27,2
-29,1
-28,0
-25,-2
-21,-2
-18,-2
-13,-2
-7,-2
-3,-2
2,-2
5,0
6,0
7,-1
8,0
7,0
5,1
3,2
0,2
-3,1
-6,1
-7,1
-10,1
-13,2
-15,1
-16,1
-18,1
-18,1
-17,0
-18,-1
-17,-1
-15,0
-15,0
-13,-1
-12,-1
-11,-1
-12,0
-12,0
-14,-1
-18,-1
-20,-1
-19,-2
-18,-1
-16,-1
-13,1
-13,2
-15,3
-17,3
-18,2
